"AOU","rmse_occ","AUC","rmse_pres","AUC_pres","rmse_gam","AUC_gam","rmse_gam_pres","AUC_gam_pres","rmse_rf","AUC_RF","rmse_rf_pres","AUC_RF_pres","AUC_me_pres"
5540,0.251851876909657,0.626315789473684,0.317025847921277,0.677432216905901,0.22436674910302,0.582121971595656,0.310975620083726,0.762349054454318,0.245670082673835,0.576608187134503,0.30079586651276,0.801874003189793,0.778035999088631
5580,0.256261811254751,0.600717488789238,0.304352327628748,0.665966485721029,0.238532289289365,0.692615844544096,0.28888582881155,0.799221147037999,0.259912362676827,0.649028400597907,0.303371364713542,0.716055834653899,0.793307259179338
5600,0.336424882195876,0.697120523784073,0.363758779716006,0.636369643367037,0.327970525466478,0.626002137894174,0.358217747910421,0.691332193611211,0.328975007516022,0.544973721717442,0.357909954621309,0.720969849834899,0.706402883228513
5610,0.261680097722995,0.550460666194189,0.336830593901286,0.708183097352915,0.240915637276364,0.569950389794472,0.328856769338643,0.74589306129628,0.258359027168781,0.521474131821403,0.338502555769443,0.702409638554217,0.759867206050479
5620,0.226477963479574,0.634331597222222,0.286704883248389,0.721616972477064,0.208388087025952,0.590711805555556,0.279407028560233,0.795925315366973,0.22762649372126,0.603515625,0.286286828420794,0.766426856364679,0.809982439793578
5630,0.336894363391639,0.653574902723735,0.403409202827329,0.574599578293614,0.324203106181235,0.605874791550862,0.39613331219867,0.650686152410036,0.328808236600864,0.549854085603113,0.398506897540732,0.684229166226901,0.663690915956591
5730,0.270879596873951,0.461016949152542,0.338176714113055,0.691905914908336,0.240863566900039,0.63680387409201,0.311716651890539,0.813317191283293,0.273490237137394,0.528329297820823,0.345458502111716,0.679245935662401,0.763161535800761
5780,0.245776964712434,0.784383561643836,0.361091607051262,0.598952457695407,0.209559913326437,0.618356164383562,0.351105484438894,0.694520547945205,0.250418540798232,0.612876712328767,0.366563956194343,0.631265108783239,0.741176470588235
5810,0.33895434163728,0.662398841637575,0.366627313458921,0.642489668210882,0.331936183357036,0.699966280545858,0.361935147569452,0.68421113514639,0.331901436602091,0.510115836242463,0.361074461740648,0.714736247039528,0.693256134319042
5830,0.206275975357172,0.493777257738538,0.282815243839165,0.691537821383207,0.186429712524408,0.579512817785342,0.273589222416176,0.789781437519163,0.203375770569135,0.732333439704996,0.278440743847899,0.752633480793658,0.79747930445447
5840,0.227070557448779,0.543809523809524,0.31187130764901,0.632164918414918,0.212949542442496,0.657604617604618,0.297387167852779,0.783228438228438,0.226087634489383,0.703549783549784,0.308762843624274,0.753441142191142,0.777392191142191
5850,0.195415591124622,0.582481060606061,0.266133346738189,0.679352678571429,0.180295423229381,0.633806818181818,0.256185283394337,0.783494543650794,0.194792559651624,0.645265151515152,0.261761914413066,0.730003720238095,0.790290178571429
5870,0.279308343697777,0.581911926483171,0.334364296229703,0.715955241896965,0.264989204903754,0.567044103430267,0.32422883801468,0.788920183988166,0.271768388486501,0.622403964752814,0.325645741602127,0.813166689341944,0.793740610264085
5880,0.270357865369396,0.465528519099948,0.335694155849413,0.659260330312962,0.259576182202973,0.561093668236525,0.332150393636254,0.697775421459632,0.272919580648177,0.639848246991104,0.335879093377726,0.706282265492792,0.708967932652143
