"AOU","rmse_occ","rmse_pres","rmse_gam","rmse_gam_pres","rmse_rf","rmse_rf_pres","rmse_me_pres"
5610,0.315111205996548,0.341149779067698,0.174632193779308,0.337806314974854,0.326232363931192,0.391620505496738,0.387896622637618
5620,0.356015900837971,0.365260316644804,0.216021968762926,0.311632958958398,0.326046248908786,0.364227596909528,0.365090901739794
5630,0.335915168022218,0.336616427078911,0.24868044139722,0.289721221744375,0.287421671768382,0.326573800843815,0.395064803277384
5730,0.316553033726181,0.356556724080439,0.000431964583951339,0.00140194335448589,0.311573662447479,0.349417254426622,0.376246690305918
5780,0.348562847255542,0.405015856014034,1.01840682922331e-05,3.57058593143687e-07,0.333190183423417,0.466379978292946,0.409093358068148
5810,0.291298430403821,0.287854416534296,0.231817519819959,0.248732834788163,0.236797537245533,0.256739626643467,0.387217045509821
5830,0.298371143219882,0.368965601926839,0.24177446294414,0.336989720603842,0.31510170241041,0.391506662182263,0.383361063061457
5840,0.338159734577892,0.384846380194939,0.255620410489919,0.302847607359212,0.322608749363212,0.362591174569954,0.372038011775445
5850,0.380882030124704,0.444476138676424,0.241080180658993,0.332314542964702,0.357501596312293,0.414461024222382,0.404553141919745
5870,0.266518558687633,0.279650130541951,0.212875756999034,0.241480852724259,0.230320758288855,0.268169645650641,0.332277439504784
5880,0.392206896515946,0.418992372371131,0.30628873583662,0.380875778586638,0.376570355733254,0.42256761387189,0.425363253518829
5900,0.355006525531462,0.366409104887649,0.196136432490442,0.299613332639967,0.392198647494982,0.404393379396254,0.380158033807932
5930,0.156319188535766,0.158640236292632,0.0564046349824624,0.122403340311025,0.140020998903811,0.164559091177661,0.367805540605665
5950,0.298513030620077,0.298516715516189,0.218998820466112,0.00547466639235004,0.255621251368828,0.264928720799121,0.359318061998868
5960,0.325070564933067,0.400498402544002,0.276449316085773,0.358608974912693,0.318604740455361,0.407023357673431,0.405195215318879
5970,0.345065237699748,0.330270160011416,0.241494390265272,0.224161561063176,0.281862870223259,0.283437646370455,0.386080973896066
5980,0.254705852665301,0.2656446954605,0.139325022156506,0.181070694670295,0.166850035600815,0.21965626959089,0.353281281434467
5990,0.363323777133587,0.449668672165112,0.307950168003707,0.419410320238648,0.378661159327424,0.474767636824536,0.436653101724732
6010,0.327431118546999,0.354255056305316,0.000104127296643182,4.01021580512712e-05,0.368750925024394,0.445033919394969,0.399209978847266
6040,0.298722007129929,0.351323335058033,0.216074440061135,0.299809914427338,0.263439641250082,0.335427103356977,0.396911354854896
6070,0.321163154048572,0.341084923087213,0.248513537805636,0.32673404457367,0.31547744189889,0.374126569742865,0.402419689538105
6080,0.323322293976592,0.355743008473986,0.243095362271864,0.314013953934466,0.287479530758484,0.350227536914735,0.399506610507892
6100,0.334141013470821,0.371098463484936,0.205079965841228,0.286970761751053,0.265553941393716,0.346920352281147,0.382229913210089
6110,0.336488381263368,0.415437623937154,0.274732785182637,0.334989950231828,0.294314407087971,0.365800096754113,0.396346783521082
6120,0.409120049396062,0.469792782715739,0.368578877259614,0.433234256042979,0.38492385118835,0.45292463222749,0.455968955266916
6130,0.277692220010632,0.250079582996483,0.246289344894132,0.238808782301565,0.255264637644305,0.253171633167896,0.387541052910808
6140,0.324460559840852,0.324319723175424,0.266805121356479,0.284137736724055,0.280076322341433,0.306113785412228,0.393946853601923
