"AOU","rmse_occ_notrans","rmse_pres_notrans","rmse_gam_notrans","rmse_gam_pres_notrans","rmse_rf_notrans","rmse_rf_pres_notrans","rmse_me_pres_notrans"
5400,0.222902254413323,0.317126583377879,0.201823739697311,0.311616797742012,0.228978794863047,0.32870196385964,0.518978389759151
5420,0.217744779141091,0.317754108392701,0.197208563099341,0.296504310606577,0.217870306236535,0.316251311639037,0.517239027740773
5460,0.276813399649197,0.405059917629733,0.262868265306362,0.386057971807332,0.280129068022431,0.414853529261285,0.538352853068808
5520,0.243829061135222,0.372537324776959,0.215171093853026,0.359057480095594,0.247429753194849,0.388479078404245,0.523940546236784
5630,0.208115814623777,0.274130341969929,0.187840574534263,0.253600744887795,0.210338280119514,0.280502301439802,0.445723606974709
5840,0.220787180428149,0.310445913793615,0.183329269247258,0.304486005459679,0.232209564789843,0.323995395319856,0.53141469041163
5870,0.173660134202409,0.258779723630735,0.155487723659445,0.238055230220434,0.179410311273484,0.266658463269052,0.409768585353722
5950,0.192280216232005,0.293619927416985,0.161706463216335,0.259971297982956,0.189149912102805,0.294021772170522,0.51873320970962
5970,0.229549254035332,0.317817564610896,0.177089872524844,0.25541078769282,0.217226643863347,0.304095208311916,0.446078180659956
6040,0.248369003771672,0.353458256307277,0.202666311677678,0.333434688315276,0.262672486857384,0.377908346029996,0.462210359156172
6080,0.247493046752579,0.374453342921231,0.210655898220687,0.32171736977741,0.238725981187734,0.360608996542148,0.405445293181882
6100,0.206224340741089,0.297549642441076,0.164174011755787,0.245853685003975,0.226326448284182,0.319912044116335,0.455764069192526
6110,0.238878643519589,0.345531697376227,0.211028925514627,0.316723807037227,0.244309601375354,0.346842991351581,0.505065678342722
6120,0.258130990381107,0.375890099370261,0.242540863660724,0.36922663989793,0.270398683220827,0.393719572123232,0.543447507841242
6130,0.144878712138988,0.20217318804609,0.124224924662252,0.180917326808437,0.141383295469293,0.205407863960936,0.395666126233935
6140,0.253018069184362,0.368602676217141,0.226339461710662,0.352705233854606,0.250057901513537,0.368766862383662,0.47860219654488
6150,0.260796086093446,0.362175184024699,0.19410233793924,0.344025128770215,0.270413008654613,0.377707449749217,0.494571709707003
6160,0.237993075919736,0.371956065903917,0.223178253435632,0.356874047319384,0.25533264569886,0.389436468764032,0.533449172668259
6170,0.308744453497632,0.445073007392685,0.299357617983207,0.443173564539372,0.324461600100827,0.469809331462779,0.558819005023011
6190,0.211896514634469,0.300672957450543,0.181881312208171,0.272366697784832,0.204148511649201,0.285874636928524,0.393772231897412
6220,0.24779118435357,0.352609222074825,0.231058825207129,0.34023699849535,0.256118897031259,0.360949197406026,0.468756529526208
6240,0.180774487590953,0.272524537911408,0.160352437915612,0.256197696785923,0.191314564027613,0.289418428951227,0.448378550470099
6270,0.203917343604572,0.289478292238815,0.193976389553324,0.284235939657757,0.207920304745794,0.301182765353194,0.54519348121852
6280,0.264567330095743,0.387066012379959,0.246152449047861,0.372689360607865,0.271838393434224,0.402809792245293,0.544987201642147
6290,0.273289711499293,0.397764412116774,0.216350946188923,0.32540569107099,0.286492668683985,0.431381903692048,0.464959620514649
6310,0.210149141194419,0.307314997383718,0.159075572152361,0.271982564453711,0.218281552664674,0.325735020173538,0.489484139552209
6330,0.267809362033983,0.41385598699674,0.20614759168143,0.373050256994471,0.282224497943817,0.424645007809343,0.468358644401109
6360,0.272945707710698,0.375652792707973,0.246988237903559,0.368157368191902,0.290078939957018,0.403007497778527,0.54522858096756
6370,0.204995347888196,0.294754570135264,0.176285151254773,0.271224361888674,0.220450431775345,0.317519899197767,0.478294340511278
6390,0.286773629375982,0.395086231778466,0.209023829217319,0.321201706774512,0.292050259557968,0.404174692522151,0.506709154062147
6410,0.267176928999243,0.381800861983325,0.230013294801674,0.34101239339879,0.267157145018385,0.379162436415576,0.488634961230549
6480,0.28344365568712,0.406336694056074,0.256709007002475,0.394514418123592,0.28864276975159,0.41943713308653,0.531965497983474
6520,0.242586235766358,0.328321987834613,0.217506399317139,0.300914197484511,0.240087090210486,0.328496203842982,0.470822440681708
6630,0.23570079090891,0.400752495591458,0.2084890290488,0.380904605850044,0.240205965961016,0.428582979101519,0.510449937695034
6670,0.231355298271348,0.306358074512786,0.148769487882098,0.278148456911107,0.236193085329419,0.311806855300578,0.505336409389916
6710,0.266447340272019,0.366848726377057,0.222785894365518,0.34332159274228,0.273368450838248,0.371450325770802,0.510102410725215
6730,0.273041444565224,0.383444477461863,0.212572058218091,0.327312801387599,0.274426108544243,0.393731190823705,0.518214201340327
6750,0.245845265676139,0.362063647992978,0.19280806582238,0.350921894068627,0.264308513251295,0.396996882043128,0.510560856452086
