"AOU","rmse_occ","AUC","rmse_pres","AUC_pres","rmse_gam","AUC_gam","rmse_gam_pres","AUC_gam_pres","rmse_rf","AUC_RF","rmse_rf_pres","AUC_RF_pres","rmse_me_pres","AUC_me_pres"
4780,0.249169100903389,0.553801169590643,0.316077595617378,0.720349894343702,0.234665314381543,0.610087719298246,0.30942243676227,0.766189984765836,0.255908665529695,0.742397660818713,0.316436132254359,0.744695071010861,0.46658950629272,0.779949874686717
4840,0.16301816497057,0.614890622250894,0.288571558070536,0.724862110914962,0.142011944813033,0.772124802064395,0.276724703123881,0.799125559102509,0.160935018514132,0.709107970207026,0.287573684014059,0.763928398291364,0.45860157071501,0.797634619078544
4860,0.308938235363098,0.678035451353494,0.386277302388189,0.647448360963571,0.299604124972729,0.696483180428135,0.368480214989726,0.717452116529857,0.303951208957345,0.749193000339789,0.36037272222386,0.748403347819089,0.493850913314476,0.73895863511991
4880,0.352837792502487,0.789569932145206,0.376683407873309,0.614510582313475,0.346277189001552,0.685509873433966,0.370454127715914,0.677836886445438,0.348866698804017,0.572049599769005,0.371244729554238,0.706026724843196,0.537440252633179,0.684621141311928
4900,0.304409405889313,0.528061224489796,0.411945754868181,0.630668934240363,0.275519773223524,0.754931972789116,0.383746447701342,0.767875429741789,0.292492822808396,0.75578231292517,0.399849890994807,0.734840172628191,0.485205092836687,0.763532294638285
4910,0.157766667968787,0.433058845299778,0.285060228587438,0.730811848429989,0.12933580373344,0.673343819393042,0.263482522057864,0.848734315500343,0.158188014712288,0.62740562546262,0.286583751454896,0.748392533866034,0.447920056862007,0.814228416255696
4930,0.33171887774181,0.646560257362039,0.369536965614859,0.617705846771934,0.324908045190707,0.673265693310237,0.364988114920732,0.667218840422996,0.325763113906196,0.551400230965932,0.365239932953487,0.698263393848306,0.540095629602024,0.679358787846846
4940,0.287111881268515,0.626787458921751,0.352894862349138,0.671908499690314,0.271391694121359,0.538502531308287,0.345872981009089,0.716364325757937,0.278831516537039,0.565059063860023,0.345871281382115,0.731478393444185,0.50347750448444,0.739900463734972
4950,0.349127289270757,0.641601998037642,0.386580462357518,0.588342504501798,0.343195937335941,0.736241191686736,0.381644648372191,0.641936933294074,0.342480649870752,0.533107364790533,0.380679772511749,0.684466945543462,0.549882386046591,0.658816608583814
4970,0.185702857680598,0.485683646112601,0.285933591943416,0.589175828130342,0.170107335748899,0.496085790884718,0.278092757778335,0.7313659427461,0.180770938707263,0.504423592493298,0.281962885475205,0.691907173830901,0.556679178894977,0.691731741547763
4980,0.351409749268532,0.634776044287871,0.375018882580621,0.611981012783812,0.344364586379803,0.565576245596376,0.370906448893929,0.656341939452318,0.344893105113095,0.502692501258178,0.370679118293628,0.696574628754767,0.546033846672049,0.670039997137908
5010,0.351412629811982,0.5880571309796,0.39725150036976,0.637367260032581,0.336948595035501,0.51824687472162,0.383841509035666,0.712891517030841,0.338977127507493,0.530035335689046,0.386289484441379,0.732097786110911,0.509568138182164,0.699997966025225
5011,0.284638280243832,0.547062641999351,0.349281338117756,0.630150719310997,0.276290808523305,0.588839430611583,0.344639183343866,0.681577684216301,0.282104562532478,0.505390179440812,0.344854760792185,0.692557291166669,0.545657681019735,0.672714181878026
5060,0.297846941221159,0.652596918859322,0.397621689084293,0.57155567318106,0.287417028493685,0.68346792216693,0.394340151551604,0.623030924666556,0.287555389750263,0.617017789564647,0.392153610006749,0.664705925398328,0.556070654410498,0.654956288844874
5070,0.258515479528284,0.598327228327228,0.319685294562141,0.738734275761587,0.246882174981049,0.578925518925519,0.310519987191344,0.801274035255128,0.248322208013387,0.619426129426129,0.312088500555829,0.810738077282195,0.442256963501677,0.805790585464955
5080,0.245096605603971,0.525443097014925,0.350541642301034,0.580152123995408,0.234010252488246,0.523670708955224,0.346403728480407,0.63942820239462,0.244714096145855,0.685960820895522,0.345711717304795,0.680362780875841,0.553195196347079,0.673584344759718
5100,0.272461074179764,0.522053083528493,0.33741874789561,0.615965129428945,0.261788551447209,0.508548009367682,0.330869373982926,0.695078405357032,0.272053579895461,0.565807962529274,0.336724780713148,0.648372454385981,0.547120750640807,0.684566477591473
5110,0.354152186181219,0.62728813559322,0.384458233968031,0.617218389080546,0.346103903838063,0.624794188861985,0.379425789290796,0.668252837358132,0.347421042309759,0.584019370460048,0.379564087313493,0.704221538923054,0.536517209044884,0.678849307534623
5120,0.182251273448179,0.534824358818524,0.309266765485589,0.678517702396339,0.160477545744471,0.58259389814027,0.287172621357169,0.816142975189101,0.183199074163555,0.651543697581135,0.301937002939277,0.762273025827913,0.481924097727801,0.799595313261436
5140,0.115370012496063,0.613666845493562,0.280499834207782,0.671455545737608,0.108753562807854,0.683766988555079,0.275229869214274,0.751191302701338,0.117876535587887,0.643285050071531,0.284838821783485,0.674695468316082,0.491812036738204,0.766354771522343
